Frame_Width (mm),Lens_Height (mm),Temple_Length (mm),Lens_Thickness (mm),Weight (g),Price ($)
126,47,138,1.1661410838245287,42.27737958842745,303.6033672282739
139,44,140,2.6562223649552545,20.617598329196085,136.17688521121966
148,35,133,4.03810534395372,30.717007752053522,386.6675145509706
134,48,139,4.496799082404086,41.01189336332375,390.18129241048695
130,30,132,1.3901931765163988,15.717276538610829,104.83121125410229
127,30,135,3.0987018520450205,16.013942863408197,233.82417372792736
148,42,132,2.053611955225539,38.69192234090015,368.7021461753505
140,32,138,2.498535478411466,40.37942744137838,303.32615756722896
126,39,132,4.733767319039625,44.60543030619026,351.3451415515418
145,32,147,2.4082990917825877,28.98599355274196,366.4975465532001
138,38,137,2.4613837207133074,28.642183276592696,262.0502507779491
142,37,137,1.837583302979965,34.332879045538014,156.993253499957
130,32,144,4.840073672103422,41.50644342622259,362.32518230702533
130,42,142,2.8259494266411336,37.43472689283767,295.00123206030054
143,35,136,3.2815685362270517,26.456315634534842,237.911078136488
140,42,148,2.812672369205599,27.129153975254567,261.32117551117443
123,49,137,2.0116763070554566,41.70517274484871,257.132525600781
127,49,139,4.241650452563947,33.712633161656115,227.49313827329036
143,41,146,1.1138849035072846,18.42916614529333,188.46694635674586
122,42,130,3.760973720366775,20.354823395330143,211.31934320131188
141,31,142,3.3770912423974098,44.79166315784106,407.29024788212996
140,45,142,1.5771226027549967,49.958120109447215,326.86127262693327
121,35,145,1.6636201772027577,26.74890170094392,243.31258286141207
143,48,138,3.6369023516034775,28.534558154488888,339.67908302157264
131,42,139,2.248555166653086,20.407080867635518,127.86948831964828
149,46,135,2.0629523126627167,23.249957942114754,335.0964963450069
125,38,134,1.2366243821491172,29.862044602156075,219.21615149398934
121,46,131,4.065932357291137,24.95363755437669,311.90844403279203
147,31,140,4.530687741202581,39.54986991066802,430.6307121597904
140,48,138,4.279377406902935,33.82473045264588,321.15606815680843
120,48,135,2.8641364780001477,43.780399490263534,184.29490556127996
131,36,137,3.13582563432225,40.35837212016568,274.8221958152221
145,39,138,1.9691047759387534,19.483521418616817,210.3470562839626
141,39,138,1.6914189576751446,19.318613795185158,172.93209531853728
148,49,137,4.2920046995653784,46.347702347761,349.32804503158235
131,38,141,4.193376642179321,43.68289338066958,335.7443374732145
144,46,137,4.109439313747568,31.37710631069481,287.9878006554811
136,44,132,2.853437225590539,19.56274471708904,355.2791279059684
146,31,142,4.458031043378236,46.45017017400319,319.55518011766327
146,33,148,4.704928277403258,23.074519508157554,316.17164473314585
129,48,131,2.313377378613779,16.243717112037913,241.6336275185525
147,46,146,1.8987779671214233,47.34838337455908,333.05181919976224
147,34,145,2.8570521231039328,43.31274672530539,387.16036098611954
135,36,133,1.71730542669837,39.2718592311457,280.0590627399263
134,47,147,4.5360115405595876,16.191062507321227,163.97519973913228
149,36,143,2.3519620003110777,33.495091243744824,275.4915283368032
149,46,131,3.304687146162307,37.87726542793199,313.1584340586708
134,36,142,3.3788779836285,41.5771534273711,296.6241007446666
149,33,149,3.0599515213835855,31.487585967948327,335.0423823539107
138,37,146,1.6261028376923932,48.367225502854495,303.0329510712943
131,42,144,4.964002560373485,23.56733713406111,295.84516584794756
142,33,149,1.6904129169645188,17.44072210766378,222.00843796678336
139,35,134,4.006029442283639,26.646818575302746,226.36358261763763
144,34,136,4.165451496220636,38.163170460734946,332.1779802406826
122,41,147,1.5806548334450907,40.800502149669526,203.18074789724687
124,33,140,4.732654046199521,40.84739139901831,317.41416400228417
138,38,147,2.9510350505109133,18.873583966795685,218.7660850840304
126,33,134,3.5155318342707464,45.978130911989446,362.51064138807567
140,48,142,3.5687442241391847,24.829179602301025,391.26598401461547
128,43,147,3.019820502369203,22.346888768212928,272.6113234301228
126,34,131,1.5680881764846148,36.506011692816024,283.68212046993244
137,47,149,4.007013431565197,22.414717605184173,280.8438141141719
123,39,133,3.327143340493969,32.781347249925844,203.48957217214647
144,48,142,1.474722461029534,29.24603937908808,313.8963599457356
147,41,145,3.8012878745344345,23.12119919199811,327.45623645695537
133,47,135,3.811053043225962,25.22208713755873,275.27643021554866
137,46,137,3.1939457843836605,29.959253097630203,322.4043344146676
145,40,145,1.362195241166272,27.115612121031937,293.4021636485892
128,32,142,2.410576124546917,28.355152453005637,250.8345452403309
145,46,133,1.2036964305068039,40.74021175495835,291.36023341797653
140,30,131,2.9103840753055654,20.893296944231707,209.81985044591292
121,44,138,4.625788527576173,36.96665055663486,249.50880460460334
139,38,147,1.009011930451695,38.73552214767422,320.2269676285566
147,44,146,2.0665546121696488,43.07304661618607,360.5138329330422
134,32,137,4.1994364045923405,44.65645113583807,253.7796707128826
147,48,144,1.039443335286426,20.553294021349018,123.44197528415091
126,42,138,1.0406937481840268,19.83912663913008,198.40876501786678
131,41,146,3.4432743443775964,36.51698546013131,273.84075231637604
148,49,131,4.156799027194338,41.49207927040376,286.74227965542957
127,30,135,4.106021669866683,24.531425058388887,277.2779104282583
134,46,134,4.118312082997148,33.40465219505895,118.07705464364852
122,42,146,2.4440253792706628,42.02838007141199,267.8644975231169
133,30,131,4.530896577097835,41.8626087884159,323.60162074993883
136,39,147,1.0513424055869476,37.883705813981095,386.4028931760261
123,44,139,2.2487549470892017,17.757569357667776,228.72877800229375
137,36,139,2.3487507793415596,16.772535109650338,343.0796972140472
127,47,135,1.6622845032781646,28.59558585172949,310.9020202529235
123,45,141,2.344903891968397,15.934059926772663,258.0534591832977
121,43,146,3.343536520208436,46.645051614916326,331.4320201605601
149,47,142,3.08111725078953,15.705063266415348,268.78188408294517
125,36,149,2.2777094343381594,16.036450174969353,213.30823620098067
141,46,145,3.997310054729822,20.78645824300111,171.99939848814248
129,47,139,3.859162313751229,36.94552960549461,288.56743265016223
123,41,131,2.1227859083217617,33.95439492052246,296.92106269967394
141,37,131,2.29291357111167,38.082049779437284,315.85877547781325
148,31,136,2.1500807945285105,46.274429938780045,408.7939036851146
137,36,135,1.5154046660448621,30.923097778409456,269.90463050227737
145,33,130,4.01112657184342,16.535659155817445,173.8830335418245
131,47,141,1.1851060420609962,41.722381882401024,243.98723672656473
121,35,142,1.6023219764136911,43.41875619708196,318.33996086287686
129,38,141,1.4212180709913897,16.746092596029804,236.73160570202123
149,38,148,4.301355902097337,23.499725277311583,319.02228433655887
123,43,138,1.176034061547004,41.97088797661069,169.408332386803
133,37,139,3.6585091596662354,28.165433349120914,338.3028831423568
135,48,146,1.177898393643214,31.542798946254663,254.5702985431621
134,32,147,4.145773615687197,43.811150986737545,367.73426100987984
127,47,137,4.650856345574994,18.311683844319987,299.3673133719961
133,34,136,2.9473726633382458,38.704951356285655,207.0032500864197
142,43,138,4.218167204049182,22.524453536284973,267.14090439853527
147,33,139,3.8256421314009135,17.192800087678076,200.6595108667277
144,36,141,4.182541168693868,38.18742459568715,296.03568263049806
149,49,144,4.067100798103954,19.249428854059282,219.80963559685756
127,41,144,1.8214715349549278,41.145254058088085,269.71460603796356
140,31,133,2.998236040619158,22.094688693932603,288.4408444247699
135,40,133,4.841656748505543,16.697920712524823,238.42772556578691
132,43,130,2.3741317783259666,18.475411274736995,421.7910384407478
137,45,141,4.881948362548258,44.444458706106744,291.239313594663
134,49,131,3.3326468457349434,27.983887571909598,307.8631956389844
140,35,144,2.8464456706631096,25.579332447859628,279.4444771457787
143,33,146,3.6310298601048085,32.19195868993843,336.72097755291713
145,44,136,4.263356684710775,37.15263990975295,305.0291716751382
144,30,135,2.576832619402997,16.298578585958396,169.14332223778024
147,36,141,1.1318167004585518,46.4365979707686,335.40108691911695
147,41,148,3.8352251918816456,48.546847768713896,327.54736998659797
147,39,130,4.8246671379895405,29.605738565420424,296.01896132975435
132,34,143,3.499946601105352,29.442011588040984,319.361401326748
128,41,133,1.7536579141818933,45.749597244256506,286.97929308099026
148,47,134,1.9929701287244415,30.025912934810663,299.68946531471994
134,39,130,4.639002874525497,44.96664771840122,359.48226293271864
132,35,130,1.0542483824178825,15.991793057128582,218.5077322205775
120,41,135,3.1949866618536698,32.137771306878776,195.28884850056056
144,36,134,1.634710580775823,48.33501656703265,212.86661362679988
126,47,131,2.1310577408683176,23.84816305557354,231.0884387587575
